WardCode,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Population_2017,Population_2018,Population_2019,Population_2020,Population_2021,Population_2022,Square_Kilometres_2011,Square_Kilometres_2012,Square_Kilometres_2013,Square_Kilometres_2014,Square_Kilometres_2015,Square_Kilometres_2016,Square_Kilometres_2017,Square_Kilometres_2018,Square_Kilometres_2019,Square_Kilometres_2020,Square_Kilometres_2021,Square_Kilometres_2022,Population_per_square_kilometre_2011,Population_per_square_kilometre_2012,Population_per_square_kilometre_2013,Population_per_square_kilometre_2014,Population_per_square_kilometre_2015,Population_per_square_kilometre_2016,Population_per_square_kilometre_2017,Population_per_square_kilometre_2018,Population_per_square_kilometre_2019,Population_per_square_kilometre_2020,Population_per_square_kilometre_2021,Population_per_square_kilometre_2022
E05000026,12904,12534,12917,13617,13962,14692,15048,15297,15518,16246,16938,17574,1.279,1.279,1.279,1.279,1.279,1.279,1.279,1.279,1.279,1.279,1.279,1.279,10089.13213,9799.843628,10099.29633,10646.59891,10916.34089,11487.0993,11765.44175,11960.1251,12132.91634,12702.11102,13243.15872,13740.4222
E05000027,10468,10642,10780,10893,11039,11148,11239,11266,11289,11320,11323,11324,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,1.361,7691.40338,7819.250551,7920.646583,8003.673769,8110.947832,8191.036003,8257.898604,8277.736958,8294.636297,8317.413666,8319.617928,8320.352682
E05000028,11638,12202,12904,13765,14461,14841,15037,15088,15118,15016,14891,14751,1.284,1.284,1.284,1.284,1.284,1.284,1.284,1.284,1.284,1.284,1.284,1.284,9063.862928,9503.115265,10049.84424,10720.40498,11262.46106,11558.41121,11711.05919,11750.77882,11774.1433,11694.70405,11597.35202,11488.31776
E05000029,10098,10221,10318,10383,10479,10817,11026,11210,11405,11353,11297,11240,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,2987.573964,3023.964497,3052.662722,3071.893491,3100.295858,3200.295858,3262.130178,3316.568047,3374.260355,3358.87574,3342.307692,3325.443787
E05000030,10581,10621,10667,10746,10854,10970,11051,11100,11144,11078,11032,10964,3.454,3.454,3.454,3.454,3.454,3.454,3.454,3.454,3.454,3.454,3.454,3.454,3063.404748,3074.985524,3088.303416,3111.175449,3142.443544,3176.027794,3199.478865,3213.665316,3226.404169,3207.295889,3193.977997,3174.290677
E05000031,11717,11772,11886,11906,12049,12167,12295,12336,12375,12345,12299,12263,1.445,1.445,1.445,1.445,1.445,1.445,1.445,1.445,1.445,1.445,1.445,1.445,8108.650519,8146.712803,8225.605536,8239.446367,8338.408304,8420.069204,8508.650519,8537.024221,8564.013841,8543.252595,8511.418685,8486.50519
E05000032,12560,12840,13107,13269,13833,14368,14596,14685,14779,15741,16601,17432,1.134,1.134,1.134,1.134,1.134,1.134,1.134,1.134,1.134,1.134,1.134,1.134,11075.83774,11322.75132,11558.20106,11701.0582,12198.4127,12670.194,12871.2522,12949.73545,13032.62787,13880.95238,14639.32981,15372.13404
E05000033,11358,11544,11742,11879,12088,12289,12449,12487,12540,12561,12533,12496,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,8873.4375,9018.75,9173.4375,9280.46875,9443.75,9600.78125,9725.78125,9755.46875,9796.875,9813.28125,9791.40625,9762.5
E05000034,10869,11296,11446,11519,11696,11878,11979,11995,12003,11949,11893,11832,2.005,2.005,2.005,2.005,2.005,2.005,2.005,2.005,2.005,2.005,2.005,2.005,5420.947631,5633.915212,5708.72818,5745.137157,5833.416459,5924.189526,5974.563591,5982.543641,5986.533666,5959.600998,5931.670823,5901.246883
E05000035,11569,11645,11742,11790,11977,12156,12276,12318,12321,12258,12223,12153,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,7054.268293,7100.609756,7159.756098,7189.02439,7303.04878,7412.195122,7485.365854,7510.97561,7512.804878,7474.390244,7453.04878,7410.365854
E05000036,10425,10601,10794,10890,11059,11243,11382,11433,11439,11382,11349,11317,1.851,1.851,1.851,1.851,1.851,1.851,1.851,1.851,1.851,1.851,1.851,1.851,5632.090762,5727.1745,5831.442464,5883.306321,5974.60832,6074.014046,6149.10859,6176.661264,6179.902755,6149.10859,6131.280389,6113.992437
E05000037,9917,10049,10153,10262,10343,10450,10519,10536,10543,10475,10387,10306,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,7978.278359,8084.473049,8168.141593,8255.832663,8320.997586,8407.079646,8462.590507,8476.267096,8481.898632,8427.192277,8356.395817,8291.230893
E05000038,11014,11195,11399,11555,11681,11831,11969,12003,12073,12789,13481,14146,3.552,3.552,3.552,3.552,3.552,3.552,3.552,3.552,3.552,3.552,3.552,3.552,3100.788288,3151.745495,3209.177928,3253.096847,3288.56982,3330.79955,3369.650901,3379.222973,3398.93018,3600.506757,3795.326577,3982.545045
