WardCode,Burglary,Robbery,Sexual Offences,Violence Against the Person,AllCrime
E05000026,193,191,25,557,966
E05000027,71,34,9,167,281
E05000028,99,37,9,249,394
E05000029,132,71,5,249,457
E05000030,93,30,8,160,291
E05000031,106,35,11,187,339
E05000032,248,99,14,371,732
E05000033,91,36,9,175,311
E05000034,123,31,17,212,383
E05000035,146,47,5,103,301
E05000036,72,33,5,156,266
E05000037,71,24,20,156,271
E05000038,131,44,14,224,413
E05000039,221,71,14,369,675
E05000040,117,20,4,149,290
E05000041,132,25,9,201,367
E05000042,146,46,14,152,358
E05000043,183,31,7,133,354
E05000044,144,39,13,385,581
E05000045,353,97,14,325,789
E05000046,140,62,13,287,502
E05000047,194,65,14,244,517
E05000048,148,19,2,135,304
E05000049,178,61,6,177,422
E05000050,201,66,14,280,561
E05000051,166,39,7,105,317
E05000052,206,51,4,100,361
E05000053,240,63,7,219,529
E05000054,152,16,8,186,362
E05000055,248,60,9,217,534
E05000056,146,40,5,130,321
E05000057,194,25,5,121,345
E05000058,145,20,8,138,311
E05000059,149,34,6,122,311
E05000060,117,25,12,175,329
E05000061,173,76,7,171,427
E05000062,313,76,25,292,706
E05000063,180,95,10,286,571
E05000085,182,98,17,227,524
E05000086,172,96,10,185,463
E05000087,218,91,13,164,486
E05000088,169,66,6,166,407
E05000089,240,114,13,274,641
E05000090,161,87,7,146,401
E05000091,244,141,20,445,850
E05000092,209,100,21,264,594
E05000093,134,55,5,101,295
E05000094,302,124,27,486,939
E05000095,160,106,18,229,513
E05000096,120,67,7,139,333
E05000097,132,76,6,132,346
E05000098,268,111,9,297,685
E05000099,154,65,8,142,369
E05000100,249,131,24,524,928
E05000101,117,102,9,208,436
E05000102,209,84,5,220,518
E05000103,187,88,12,213,500
E05000104,211,162,9,368,750
E05000105,293,172,22,458,945
E05000106,117,15,8,102,242
E05000107,75,4,4,77,160
E05000108,120,20,19,188,347
E05000109,218,148,21,532,919
E05000110,126,9,3,58,196
E05000111,179,18,2,145,344
E05000112,194,46,9,158,407
E05000113,169,30,7,174,380
E05000114,251,30,11,236,528
E05000115,177,19,19,260,475
E05000116,232,81,18,279,610
E05000117,74,2,1,28,105
E05000118,92,14,3,93,202
E05000119,110,54,5,141,310
E05000120,177,68,6,177,428
E05000121,119,13,3,170,305
E05000122,153,31,19,209,412
E05000123,275,81,17,397,770
E05000124,141,17,1,62,221
E05000125,126,23,16,183,348
E05000126,70,1,1,35,107
E05000127,109,40,13,78,240
E05000128,286,44,11,85,426
E05000129,582,216,48,384,1230
E05000130,514,278,12,504,1308
E05000131,428,122,12,285,847
E05000132,173,47,11,138,369
E05000133,263,52,5,101,421
E05000134,192,52,8,184,436
E05000135,276,69,10,145,500
E05000136,218,89,13,263,583
E05000137,273,79,14,136,502
E05000138,698,237,27,511,1473
E05000139,308,124,13,392,837
E05000140,275,89,12,280,656
E05000141,284,171,27,322,804
E05000142,309,145,34,406,894
E05000143,214,91,25,364,694
E05000144,267,90,6,175,538
E05000145,217,75,16,280,588
E05000170,309,75,16,261,661
E05000171,152,53,10,215,430
E05000172,123,92,16,332,563
E05000173,219,134,16,474,843
E05000174,251,48,3,197,499
E05000175,403,131,16,357,907
E05000176,153,66,9,303,531
E05000177,189,87,24,329,629
E05000178,217,43,7,167,434
E05000179,269,50,3,107,429
E05000180,141,63,11,221,436
E05000181,104,38,6,181,329
E05000182,138,28,2,96,264
E05000183,131,19,11,163,324
E05000184,158,56,13,228,455
E05000185,139,45,17,337,538
E05000186,218,111,19,417,765
E05000187,210,35,8,155,408
E05000188,253,162,25,433,873
