WardCode,Year2020_Arson,Year2020_Criminal Damage,Year2020_Burglary Business and Community,Year2020_Domestic Burglary,Year2020_Drug Trafficking,Year2020_Possession of Drugs,Year2020_Dangerous Driving,Year2020_Obscene Publications,Year2020_Other Forgery,Year2020_Other Notifiable Offences,Year2020_Perverting Course of Justice,Year2020_Possession of False Documents,Year2020_Profitting From or Concealing Proceeds of Crime,Year2020_Threat or Possession With Intent to Commit Crimina,Year2020_Possession of Article with Blade or Point,Year2020_Possession of Firearm with Intent,Year2020_Possession of Firearms Offences,Year2020_Possession of Other Weapon,"Year2020_Other Offences Against the State, or Public Order",Year2020_Public Fear Alarm or Distress,"Year2020_Racially or Religiously Aggravated Public Fear, Al",Year2020_Robbery of Business Property,Year2020_Robbery of Personal Property,Year2020_Other Sexual Offences,Year2020_Rape,Year2020_Bicycle Theft,Year2020_Other Theft,Year2020_Shoplifting,Year2020_Theft from Person,Year2020_Aggravated Vehicle Taking,Year2020_Interfering with a Motor Vehicle,Year2020_Theft from a Motor Vehicle,Year2020_Theft or Taking of a Motor Vehicle,Year2020_Violence with Injury,Year2020_Violence without Injury,Year2020_Bigamy,"Year2020_Disclosure, Obstruction, False or Misleading State",Year2020_Absconding from Lawful Custody,Year2020_Bail Offences,Year2020_Perjury,Year2020_Soliciting for Prostitution,Year2021_Arson,Year2021_Criminal Damage,Year2021_Burglary Business and Community,Year2021_Domestic Burglary,Year2021_Drug Trafficking,Year2021_Possession of Drugs,Year2021_Dangerous Driving,Year2021_Obscene Publications,Year2021_Other Forgery,Year2021_Other Notifiable Offences,Year2021_Perverting Course of Justice,Year2021_Possession of False Documents,Year2021_Profitting From or Concealing Proceeds of Crime,Year2021_Threat or Possession With Intent to Commit Crimina,Year2021_Possession of Article with Blade or Point,Year2021_Possession of Firearm with Intent,Year2021_Possession of Firearms Offences,Year2021_Possession of Other Weapon,"Year2021_Other Offences Against the State, or Public Order",Year2021_Public Fear Alarm or Distress,"Year2021_Racially or Religiously Aggravated Public Fear, Al",Year2021_Robbery of Business Property,Year2021_Robbery of Personal Property,Year2021_Other Sexual Offences,Year2021_Rape,Year2021_Bicycle Theft,Year2021_Other Theft,Year2021_Shoplifting,Year2021_Theft from Person,Year2021_Aggravated Vehicle Taking,Year2021_Interfering with a Motor Vehicle,Year2021_Theft from a Motor Vehicle,Year2021_Theft or Taking of a Motor Vehicle,Year2021_Violence with Injury,Year2021_Violence without Injury,Year2021_Bigamy,"Year2021_Disclosure, Obstruction, False or Misleading State",Year2021_Absconding from Lawful Custody,Year2021_Bail Offences,Year2021_Perjury,Year2021_Soliciting for Prostitution,Year2022_Arson,Year2022_Criminal Damage,Year2022_Burglary Business and Community,Year2022_Domestic Burglary,Year2022_Drug Trafficking,Year2022_Possession of Drugs,Year2022_Dangerous Driving,Year2022_Obscene Publications,Year2022_Other Forgery,Year2022_Other Notifiable Offences,Year2022_Perverting Course of Justice,Year2022_Possession of False Documents,Year2022_Profitting From or Concealing Proceeds of Crime,Year2022_Threat or Possession With Intent to Commit Crimina,Year2022_Possession of Article with Blade or Point,Year2022_Possession of Firearm with Intent,Year2022_Possession of Firearms Offences,Year2022_Possession of Other Weapon,"Year2022_Other Offences Against the State, or Public Order",Year2022_Public Fear Alarm or Distress,"Year2022_Racially or Religiously Aggravated Public Fear, Al",Year2022_Robbery of Business Property,Year2022_Robbery of Personal Property,Year2022_Other Sexual Offences,Year2022_Rape,Year2022_Bicycle Theft,Year2022_Other Theft,Year2022_Shoplifting,Year2022_Theft from Person,Year2022_Aggravated Vehicle Taking,Year2022_Interfering with a Motor Vehicle,Year2022_Theft from a Motor Vehicle,Year2022_Theft or Taking of a Motor Vehicle,Year2022_Violence with Injury,Year2022_Violence without Injury,Year2022_Bigamy,"Year2022_Disclosure, Obstruction, False or Misleading State",Year2022_Absconding from Lawful Custody,Year2022_Bail Offences,Year2022_Perjury,Year2022_Soliciting for Prostitution
E05000026,1,121,25,39,6,303,3,15,0,3,1,1,1,4,15,0,1,13,19,88,26,8,104,22,23,13,179,210,143,2,16,79,23,206,336,NA,NA,NA,NA,NA,NA,6,156,39,55,9,331,1,4,1,0,3,1,1,5,15,2,1,13,17,120,46,9,118,45,26,28,323,267,204,2,21,83,80,250,498,NA,NA,NA,NA,NA,NA,0,41,10,18,1,99,1,2,1,0,2,0,0,3,5,0,0,8,5,43,5,4,35,10,8,8,68,49,61,0,5,32,15,62,136,NA,NA,NA,NA,NA,NA
E05000027,4,55,12,36,7,44,NA,2,NA,1,1,NA,2,4,0,NA,NA,2,11,24,11,0,27,7,4,7,40,14,15,1,12,23,34,79,157,NA,NA,NA,NA,NA,NA,6,70,15,50,4,51,NA,5,NA,3,0,NA,0,5,1,NA,NA,3,7,31,6,5,12,16,4,9,71,25,14,1,10,36,51,96,244,NA,NA,NA,NA,NA,NA,0,23,4,9,1,28,NA,2,NA,0,0,NA,0,1,0,NA,NA,0,2,7,4,0,11,6,2,1,21,5,2,1,2,6,16,22,61,NA,NA,NA,NA,NA,NA
E05000028,2,42,9,49,6,39,2,10,0,2,1,NA,0,2,1,0,2,2,8,24,11,0,24,11,7,8,60,8,13,0,8,41,41,84,222,NA,NA,NA,NA,NA,NA,1,67,12,46,7,54,1,13,1,2,1,NA,1,4,3,1,1,3,9,59,7,4,30,17,11,9,99,11,17,0,14,43,67,101,243,NA,NA,NA,NA,NA,NA,1,23,0,8,5,10,0,2,0,1,0,NA,1,1,1,0,0,1,2,6,1,1,4,3,8,0,21,3,4,1,4,12,15,29,64,NA,NA,NA,NA,NA,NA
E05000029,2,54,13,42,4,38,1,6,0,2,1,NA,2,8,5,0,0,3,7,43,10,0,19,12,10,8,50,18,6,2,20,58,28,85,152,NA,NA,NA,NA,NA,NA,6,83,10,55,8,41,2,6,2,3,3,NA,0,1,8,1,1,1,3,66,22,2,26,9,8,11,71,37,11,0,14,44,79,106,259,NA,NA,NA,NA,NA,NA,0,19,3,8,3,7,0,1,0,1,0,NA,0,1,0,0,0,0,3,12,5,0,10,4,3,1,18,5,6,1,4,13,17,24,63,NA,NA,NA,NA,NA,NA
E05000030,2,40,3,27,0,42,1,7,0,2,NA,1,NA,1,8,2,0,3,12,31,6,1,9,15,5,10,47,14,11,1,4,23,35,67,124,0,NA,NA,NA,NA,NA,1,71,5,31,3,69,0,3,1,1,NA,0,NA,1,5,2,1,2,14,43,10,1,12,21,16,10,74,8,7,0,11,20,59,104,255,1,NA,NA,NA,NA,NA,2,25,6,11,2,11,0,1,0,0,NA,0,NA,1,0,0,0,0,0,8,2,0,3,2,1,3,16,3,2,0,2,6,13,21,36,0,NA,NA,NA,NA,NA
E05000031,1,50,4,36,10,52,3,7,NA,0,NA,NA,2,6,3,1,1,4,2,19,6,2,8,8,1,6,92,12,8,0,10,45,35,79,145,NA,NA,NA,NA,NA,NA,4,69,4,51,10,53,1,10,NA,1,NA,NA,1,3,2,0,0,4,9,38,11,1,27,17,12,8,97,14,10,1,11,48,71,86,236,NA,NA,NA,NA,NA,NA,1,17,1,17,4,11,1,2,NA,0,NA,NA,0,3,0,0,0,0,1,5,3,2,3,8,3,2,22,2,5,0,4,7,16,22,68,NA,NA,NA,NA,NA,NA
E05000032,1,75,13,37,8,142,2,3,1,3,1,NA,1,1,6,NA,4,7,8,37,19,0,23,16,14,4,123,18,15,1,17,49,18,102,219,NA,NA,NA,NA,NA,NA,4,97,15,38,5,127,0,4,4,1,1,NA,0,3,3,NA,0,2,4,36,22,1,21,15,16,3,141,26,19,0,22,92,43,137,257,NA,NA,NA,NA,NA,NA,0,22,1,27,2,27,0,3,0,0,0,NA,0,1,0,NA,2,0,1,16,4,0,7,13,6,1,42,4,4,0,8,33,13,29,68,NA,NA,NA,NA,NA,NA
E05000033,0,43,4,44,7,37,0,4,0,1,0,2,1,6,2,NA,0,4,10,19,7,0,21,10,4,19,38,6,5,1,14,36,43,83,179,NA,NA,NA,NA,NA,NA,5,81,11,70,5,69,2,6,2,3,1,1,0,5,3,NA,2,2,12,38,10,2,31,13,8,14,50,11,11,3,22,57,70,100,254,NA,NA,NA,NA,NA,NA,1,22,3,12,1,8,0,4,0,1,0,0,0,1,0,NA,0,1,1,7,2,0,12,4,3,5,19,1,3,0,11,16,16,21,52,NA,NA,NA,NA,NA,NA
E05000034,7,67,3,28,11,53,NA,7,NA,0,NA,NA,1,5,4,NA,1,2,12,30,11,1,34,27,4,4,69,16,6,2,10,33,41,78,221,NA,NA,NA,NA,NA,NA,7,71,18,65,7,73,NA,8,NA,1,NA,NA,1,3,2,NA,0,1,8,56,14,1,19,29,5,11,128,15,16,2,11,45,58,107,302,NA,NA,NA,NA,NA,NA,1,14,1,14,1,19,NA,0,NA,1,NA,NA,0,2,0,NA,0,0,3,15,7,0,5,4,1,0,27,2,6,1,4,5,16,30,82,NA,NA,NA,NA,NA,NA
E05000035,2,42,3,43,10,80,1,5,2,1,NA,NA,NA,1,2,NA,0,4,8,28,6,2,34,8,4,4,48,32,16,0,11,43,29,61,151,NA,NA,NA,NA,NA,NA,1,49,10,58,7,70,0,6,1,0,NA,NA,NA,1,5,NA,1,1,13,34,9,0,38,24,8,5,57,55,16,1,14,54,62,79,214,NA,NA,NA,NA,NA,NA,0,10,0,10,3,27,0,1,0,0,NA,NA,NA,1,0,NA,0,0,1,6,3,0,11,1,2,0,18,5,5,0,2,8,16,16,42,NA,NA,NA,NA,NA,NA
